-100	0	0	0	1	0	0	0	0	0	0
-95	0	0	0	1	0	0	0	0	0	0
-90	0	0	0	1	0	0	0	0	0	0
-85	0	0	0	1	0	0	0	0	0	0
-80	0	0	0	1	0	0	0	0	0	0
-75	0	0	0	1	0	0	0	0	0	0
-70	0	0	0	1	0	0	0	0	0	0
-65	0	0	0	1	0	0	0	0	0	0
-60	0	0	0	1	0	0	0	0	0	0
-55	0	0	0	1	0	0	0	0	0	0
-50	0	0	0	1	0	0	0	0	0	0
-45	0	0	0	1	0	0	0	0	0	0
-40	0	0	0	1	0	0	0	0	0	0
-35	0	0	0	1	0	0	0	0	0	0
-30	0	0	0	1	0	0	0	0	0	0
-25	0	0	0	1	0	0	0	0	0	0
-20	0	0	0	1	0	0	0	0	0	0
-15	0	0	0	1	0	0	0	0	0	0
-10	0	0	0	1	0	0	0	0	0	0
-5	-0.005	-0.005	0.00223047	0.996667	0.00630872	0	0	-0.005	0.00223047	0.00223047
0	-0.511	-0.511	0.0158076	0.659333	0.0447105	0	0	-0.511	0.0158076	0.0158076
5	-0.013	-0.013	0.00358204	0.991333	0.0101315	0	0	-0.013	0.00358204	0.00358204
10	0	0	0	1	0	0	0	0	0	0
15	0	0	0	1	0	0	0	0	0	0
20	0	0	0	1	0	0	0	0	0	0
25	0	0	0	1	0	0	0	0	0	0
30	0	0	0	1	0	0	0	0	0	0
35	0	0	0	1	0	0	0	0	0	0
40	0	0	0	1	0	0	0	0	0	0
45	0	0	0	1	0	0	0	0	0	0
50	0	0	0	1	0	0	0	0	0	0
55	0	0	0	1	0	0	0	0	0	0
60	0	0	0	1	0	0	0	0	0	0
65	0	0	0	1	0	0	0	0	0	0
70	0	0	0	1	0	0	0	0	0	0
75	0	0	0	1	0	0	0	0	0	0
80	0	0	0	1	0	0	0	0	0	0
85	0	0	0	1	0	0	0	0	0	0
90	0	0	0	1	0	0	0	0	0	0
95	0	0	0	1	0	0	0	0	0	0
100	0	0	0	1	0	0	0	0	0	0
