-100	0	0	0	1	0	0	0	0	0	0
-95	0	0	0	1	0	0	0	0	0	0
-90	0	0	0	1	0	0	0	0	0	0
-85	0	0	0	1	0	0	0	0	0	0
-80	0	0	0	1	0	0	0	0	0	0
-75	0	0	0	1	0	0	0	0	0	0
-70	0	0	0	1	0	0	0	0	0	0
-65	0	0	0	1	0	0	0	0	0	0
-60	0	0	0	1	0	0	0	0	0	0
-55	0	0	0	1	0	0	0	0	0	0
-50	0	0	0	1	0	0	0	0	0	0
-45	0	0	0	1	0	0	0	0	0	0
-40	0	0	0	1	0	0	0	0	0	0
-35	0	0	0	1	0	0	0	0	0	0
-30	0	0	0	1	0	0	0	0	0	0
-25	0	0	0	1	0	0	0	0	0	0
-20	0	0	0	1	0	0	0	0	0	0
-15	-0.051	-0.051	0.00695694	0.966	0.0196772	0	0	-0.051	0.00695694	0.00695694
-10	-0.205	-0.205	0.0127662	0.863333	0.0361082	0	0	-0.205	0.0127662	0.0127662
-5	-0.228	-0.228	0.0143049	0.848	0.0404604	0.019	0.00431729	-0.247	0.0136379	0.0179551
0	-0.005	-0.005	0.0195045	0.996667	0.0551672	0.253	0.0137474	-0.258	0.013836	0.0275834
5	0.238	0.238	0.020685	1.15867	0.0585061	0.471	0.0157848	-0.233	0.0133683	0.0291531
10	-0.068	-0.068	0.0186128	0.954667	0.0526451	0.191	0.0124306	-0.259	0.0138535	0.0262841
15	-0.214	-0.214	0.0136108	0.857333	0.0384972	0.011	0.00329833	-0.225	0.0132051	0.0165034
20	-0.182	-0.182	0.0122015	0.878667	0.034511	0	0	-0.182	0.0122015	0.0122015
25	-0.024	-0.024	0.00483983	0.984	0.0136891	0	0	-0.024	0.00483983	0.00483983
30	-0.002	-0.002	0.0014128	0.998667	0.003996	0	0	-0.002	0.0014128	0.0014128
35	0	0	0	1	0	0	0	0	0	0
40	0	0	0	1	0	0	0	0	0	0
45	0	0	0	1	0	0	0	0	0	0
50	0	0	0	1	0	0	0	0	0	0
55	0	0	0	1	0	0	0	0	0	0
60	0	0	0	1	0	0	0	0	0	0
65	0	0	0	1	0	0	0	0	0	0
70	0	0	0	1	0	0	0	0	0	0
75	0	0	0	1	0	0	0	0	0	0
80	0	0	0	1	0	0	0	0	0	0
85	0	0	0	1	0	0	0	0	0	0
90	0	0	0	1	0	0	0	0	0	0
95	0	0	0	1	0	0	0	0	0	0
100	0	0	0	1	0	0	0	0	0	0
